node_name,time,process_exec_id,process_pid,process_uid,process_cwd,process_binary,process_arguments,process_flags,process_start_time,process_auid,process_docker,process_parent_exec_id,process_refcnt,process_tid,parent_exec_id,parent_pid,parent_uid,parent_cwd,parent_binary,parent_arguments,parent_flags,parent_start_time,parent_auid,parent_parent_exec_id,parent_tid,function_name,skb_len,skb_saddr,skb_daddr,skb_sport,skb_dport,skb_proto,skb_protocol,skb_family,action,policy_name,return_action
d1a3316a64d8,2024-07-24T05:14:04.342654235Z,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ3MzAwMDAwMDA6Mjc4NjU0Mw==,2786543,0,/app,/usr/local/bin/python3.10,udp_client.py,procFS auid,2024-07-24T04:47:04.283639168Z,4294967295,911f3e2c594549cc4a3425a065514f7,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,1,2786543,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,2786522,0,/run/containerd/io.containerd.runtime.v2.task/moby/911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08,/usr/bin/containerd-shim-runc-v2,-namespace moby -id 911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08 -address /run/containerd/containerd.sock,procFS auid,2024-07-24T04:47:04.223639219Z,4294967295,ZDFhMzMxNmE2NGQ4OjQxMDAwMDAwMDox,2786522,ip_output,67,127.0.0.1,127.0.0.11,59919,45296,17,IPPROTO_UDP,AF_INET,KPROBE_ACTION_POST,ip-output-mon,KPROBE_ACTION_POST
d1a3316a64d8,2024-07-24T05:14:04.342977495Z,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ3MzAwMDAwMDA6Mjc4NjU0Mw==,2786543,0,/app,/usr/local/bin/python3.10,udp_client.py,procFS auid,2024-07-24T04:47:04.283639168Z,4294967295,911f3e2c594549cc4a3425a065514f7,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,1,2786543,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,2786522,0,/run/containerd/io.containerd.runtime.v2.task/moby/911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08,/usr/bin/containerd-shim-runc-v2,-namespace moby -id 911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08 -address /run/containerd/containerd.sock,procFS auid,2024-07-24T04:47:04.223639219Z,4294967295,ZDFhMzMxNmE2NGQ4OjQxMDAwMDAwMDox,2786522,ip_output,2076,172.27.0.3,172.27.0.2,46158,5000,17,IPPROTO_UDP,AF_INET,KPROBE_ACTION_POST,ip-output-mon,KPROBE_ACTION_POST
d1a3316a64d8,2024-07-24T05:14:05.345151346Z,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ3MzAwMDAwMDA6Mjc4NjU0Mw==,2786543,0,/app,/usr/local/bin/python3.10,udp_client.py,procFS auid,2024-07-24T04:47:04.283639168Z,4294967295,911f3e2c594549cc4a3425a065514f7,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,1,2786543,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,2786522,0,/run/containerd/io.containerd.runtime.v2.task/moby/911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08,/usr/bin/containerd-shim-runc-v2,-namespace moby -id 911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08 -address /run/containerd/containerd.sock,procFS auid,2024-07-24T04:47:04.223639219Z,4294967295,ZDFhMzMxNmE2NGQ4OjQxMDAwMDAwMDox,2786522,ip_output,67,127.0.0.1,127.0.0.11,36053,45296,17,IPPROTO_UDP,AF_INET,KPROBE_ACTION_POST,ip-output-mon,KPROBE_ACTION_POST
d1a3316a64d8,2024-07-24T05:14:05.345511371Z,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ3MzAwMDAwMDA6Mjc4NjU0Mw==,2786543,0,/app,/usr/local/bin/python3.10,udp_client.py,procFS auid,2024-07-24T04:47:04.283639168Z,4294967295,911f3e2c594549cc4a3425a065514f7,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,1,2786543,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,2786522,0,/run/containerd/io.containerd.runtime.v2.task/moby/911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08,/usr/bin/containerd-shim-runc-v2,-namespace moby -id 911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08 -address /run/containerd/containerd.sock,procFS auid,2024-07-24T04:47:04.223639219Z,4294967295,ZDFhMzMxNmE2NGQ4OjQxMDAwMDAwMDox,2786522,ip_output,2076,172.27.0.3,172.27.0.2,46158,5000,17,IPPROTO_UDP,AF_INET,KPROBE_ACTION_POST,ip-output-mon,KPROBE_ACTION_POST
d1a3316a64d8,2024-07-24T05:14:06.346650340Z,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ3MzAwMDAwMDA6Mjc4NjU0Mw==,2786543,0,/app,/usr/local/bin/python3.10,udp_client.py,procFS auid,2024-07-24T04:47:04.283639168Z,4294967295,911f3e2c594549cc4a3425a065514f7,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,1,2786543,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,2786522,0,/run/containerd/io.containerd.runtime.v2.task/moby/911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08,/usr/bin/containerd-shim-runc-v2,-namespace moby -id 911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08 -address /run/containerd/containerd.sock,procFS auid,2024-07-24T04:47:04.223639219Z,4294967295,ZDFhMzMxNmE2NGQ4OjQxMDAwMDAwMDox,2786522,ip_output,67,127.0.0.1,127.0.0.11,35347,45296,17,IPPROTO_UDP,AF_INET,KPROBE_ACTION_POST,ip-output-mon,KPROBE_ACTION_POST
d1a3316a64d8,2024-07-24T05:14:06.346996237Z,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ3MzAwMDAwMDA6Mjc4NjU0Mw==,2786543,0,/app,/usr/local/bin/python3.10,udp_client.py,procFS auid,2024-07-24T04:47:04.283639168Z,4294967295,911f3e2c594549cc4a3425a065514f7,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,1,2786543,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,2786522,0,/run/containerd/io.containerd.runtime.v2.task/moby/911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08,/usr/bin/containerd-shim-runc-v2,-namespace moby -id 911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08 -address /run/containerd/containerd.sock,procFS auid,2024-07-24T04:47:04.223639219Z,4294967295,ZDFhMzMxNmE2NGQ4OjQxMDAwMDAwMDox,2786522,ip_output,2076,172.27.0.3,172.27.0.2,46158,5000,17,IPPROTO_UDP,AF_INET,KPROBE_ACTION_POST,ip-output-mon,KPROBE_ACTION_POST
d1a3316a64d8,2024-07-24T05:14:07.349065248Z,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ3MzAwMDAwMDA6Mjc4NjU0Mw==,2786543,0,/app,/usr/local/bin/python3.10,udp_client.py,procFS auid,2024-07-24T04:47:04.283639168Z,4294967295,911f3e2c594549cc4a3425a065514f7,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,1,2786543,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,2786522,0,/run/containerd/io.containerd.runtime.v2.task/moby/911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08,/usr/bin/containerd-shim-runc-v2,-namespace moby -id 911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08 -address /run/containerd/containerd.sock,procFS auid,2024-07-24T04:47:04.223639219Z,4294967295,ZDFhMzMxNmE2NGQ4OjQxMDAwMDAwMDox,2786522,ip_output,67,127.0.0.1,127.0.0.11,53826,45296,17,IPPROTO_UDP,AF_INET,KPROBE_ACTION_POST,ip-output-mon,KPROBE_ACTION_POST
d1a3316a64d8,2024-07-24T05:14:07.349404106Z,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ3MzAwMDAwMDA6Mjc4NjU0Mw==,2786543,0,/app,/usr/local/bin/python3.10,udp_client.py,procFS auid,2024-07-24T04:47:04.283639168Z,4294967295,911f3e2c594549cc4a3425a065514f7,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,1,2786543,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,2786522,0,/run/containerd/io.containerd.runtime.v2.task/moby/911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08,/usr/bin/containerd-shim-runc-v2,-namespace moby -id 911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08 -address /run/containerd/containerd.sock,procFS auid,2024-07-24T04:47:04.223639219Z,4294967295,ZDFhMzMxNmE2NGQ4OjQxMDAwMDAwMDox,2786522,ip_output,2076,172.27.0.3,172.27.0.2,46158,5000,17,IPPROTO_UDP,AF_INET,KPROBE_ACTION_POST,ip-output-mon,KPROBE_ACTION_POST
d1a3316a64d8,2024-07-24T05:14:08.350651139Z,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ3MzAwMDAwMDA6Mjc4NjU0Mw==,2786543,0,/app,/usr/local/bin/python3.10,udp_client.py,procFS auid,2024-07-24T04:47:04.283639168Z,4294967295,911f3e2c594549cc4a3425a065514f7,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,1,2786543,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,2786522,0,/run/containerd/io.containerd.runtime.v2.task/moby/911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08,/usr/bin/containerd-shim-runc-v2,-namespace moby -id 911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08 -address /run/containerd/containerd.sock,procFS auid,2024-07-24T04:47:04.223639219Z,4294967295,ZDFhMzMxNmE2NGQ4OjQxMDAwMDAwMDox,2786522,ip_output,67,127.0.0.1,127.0.0.11,53559,45296,17,IPPROTO_UDP,AF_INET,KPROBE_ACTION_POST,ip-output-mon,KPROBE_ACTION_POST
d1a3316a64d8,2024-07-24T05:14:08.350969380Z,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ3MzAwMDAwMDA6Mjc4NjU0Mw==,2786543,0,/app,/usr/local/bin/python3.10,udp_client.py,procFS auid,2024-07-24T04:47:04.283639168Z,4294967295,911f3e2c594549cc4a3425a065514f7,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,1,2786543,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,2786522,0,/run/containerd/io.containerd.runtime.v2.task/moby/911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08,/usr/bin/containerd-shim-runc-v2,-namespace moby -id 911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08 -address /run/containerd/containerd.sock,procFS auid,2024-07-24T04:47:04.223639219Z,4294967295,ZDFhMzMxNmE2NGQ4OjQxMDAwMDAwMDox,2786522,ip_output,2076,172.27.0.3,172.27.0.2,46158,5000,17,IPPROTO_UDP,AF_INET,KPROBE_ACTION_POST,ip-output-mon,KPROBE_ACTION_POST
d1a3316a64d8,2024-07-24T05:14:09.353151771Z,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ3MzAwMDAwMDA6Mjc4NjU0Mw==,2786543,0,/app,/usr/local/bin/python3.10,udp_client.py,procFS auid,2024-07-24T04:47:04.283639168Z,4294967295,911f3e2c594549cc4a3425a065514f7,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,1,2786543,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,2786522,0,/run/containerd/io.containerd.runtime.v2.task/moby/911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08,/usr/bin/containerd-shim-runc-v2,-namespace moby -id 911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08 -address /run/containerd/containerd.sock,procFS auid,2024-07-24T04:47:04.223639219Z,4294967295,ZDFhMzMxNmE2NGQ4OjQxMDAwMDAwMDox,2786522,ip_output,67,127.0.0.1,127.0.0.11,50180,45296,17,IPPROTO_UDP,AF_INET,KPROBE_ACTION_POST,ip-output-mon,KPROBE_ACTION_POST
d1a3316a64d8,2024-07-24T05:14:09.353452165Z,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ3MzAwMDAwMDA6Mjc4NjU0Mw==,2786543,0,/app,/usr/local/bin/python3.10,udp_client.py,procFS auid,2024-07-24T04:47:04.283639168Z,4294967295,911f3e2c594549cc4a3425a065514f7,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,1,2786543,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,2786522,0,/run/containerd/io.containerd.runtime.v2.task/moby/911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08,/usr/bin/containerd-shim-runc-v2,-namespace moby -id 911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08 -address /run/containerd/containerd.sock,procFS auid,2024-07-24T04:47:04.223639219Z,4294967295,ZDFhMzMxNmE2NGQ4OjQxMDAwMDAwMDox,2786522,ip_output,2076,172.27.0.3,172.27.0.2,46158,5000,17,IPPROTO_UDP,AF_INET,KPROBE_ACTION_POST,ip-output-mon,KPROBE_ACTION_POST
d1a3316a64d8,2024-07-24T05:14:10.354734049Z,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ3MzAwMDAwMDA6Mjc4NjU0Mw==,2786543,0,/app,/usr/local/bin/python3.10,udp_client.py,procFS auid,2024-07-24T04:47:04.283639168Z,4294967295,911f3e2c594549cc4a3425a065514f7,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,1,2786543,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,2786522,0,/run/containerd/io.containerd.runtime.v2.task/moby/911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08,/usr/bin/containerd-shim-runc-v2,-namespace moby -id 911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08 -address /run/containerd/containerd.sock,procFS auid,2024-07-24T04:47:04.223639219Z,4294967295,ZDFhMzMxNmE2NGQ4OjQxMDAwMDAwMDox,2786522,ip_output,67,127.0.0.1,127.0.0.11,58579,45296,17,IPPROTO_UDP,AF_INET,KPROBE_ACTION_POST,ip-output-mon,KPROBE_ACTION_POST
d1a3316a64d8,2024-07-24T05:14:10.355038615Z,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ3MzAwMDAwMDA6Mjc4NjU0Mw==,2786543,0,/app,/usr/local/bin/python3.10,udp_client.py,procFS auid,2024-07-24T04:47:04.283639168Z,4294967295,911f3e2c594549cc4a3425a065514f7,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,1,2786543,ZDFhMzMxNmE2NGQ4Ojk3OTc1MTQ2NzAwMDAwMDA6Mjc4NjUyMg==,2786522,0,/run/containerd/io.containerd.runtime.v2.task/moby/911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08,/usr/bin/containerd-shim-runc-v2,-namespace moby -id 911f3e2c594549cc4a3425a065514f70058143db413881847cf06360b6c4de08 -address /run/containerd/containerd.sock,procFS auid,2024-07-24T04:47:04.223639219Z,4294967295,ZDFhMzMxNmE2NGQ4OjQxMDAwMDAwMDox,2786522,ip_output,2076,172.27.0.3,172.27.0.2,46158,5000,17,IPPROTO_UDP,AF_INET,KPROBE_ACTION_POST,ip-output-mon,KPROBE_ACTION_POST
